id,name,shelves,platforms,rating,review,dates,statuses,genres,franchises,developers,publishers,release_date,url,giantbomb_id
57334,Darksiders III,"{""Played"": {""date_added"": ""2020-03-09T14:54:40Z"", ""url"": ""https://www.grouvee.com/user/praGmatic/shelves/147651-played/""}}",{},1,,[],[],"{""Action"": {""url"": ""https://www.grouvee.com/games/?genre=action""}, ""Action-Adventure"": {""url"": ""https://www.grouvee.com/games/?genre=action-adventure""}, ""Role-Playing"": {""url"": ""https://www.grouvee.com/games/?genre=role-playing""}}","{""Darksiders"": {""url"": ""https://www.grouvee.com/games/franchise/1830-darksiders/""}}",{},{},2018-11-27,https://www.grouvee.com/games/57334-darksiders-iii/,59346
38069,The Legend of Zelda: Breath of the Wild,"{""Played"": {""date_added"": ""2018-02-05T08:42:57Z"", ""url"": ""https://www.grouvee.com/user/praGmatic/shelves/147651-played/""}}",{},5,,[],[],"{""Action-Adventure"": {""url"": ""https://www.grouvee.com/games/?genre=action-adventure""}}","{""The Legend of Zelda"": {""url"": ""https://www.grouvee.com/games/franchise/412-the-legend-of-zelda/""}}","{""Monolith Software, Inc."": {""url"": ""https://www.grouvee.com/games/?developer=monolith-software-inc""}, ""Nintendo EPD"": {""url"": ""https://www.grouvee.com/games/?developer=nintendo-epd""}, ""SRD Co. Ltd."": {""url"": ""https://www.grouvee.com/games/?developer=srd-co-ltd""}}","{""Nintendo"": {""url"": ""https://www.grouvee.com/games/?publisher=nintendo""}}",2017-03-03,https://www.grouvee.com/games/38069-the-legend-of-zelda-breath-of-the-wild/,41355
26573,Resistance 3,"{""Played"": {""date_added"": ""2017-05-30T06:43:03Z"", ""url"": ""https://www.grouvee.com/user/praGmatic/shelves/147651-played/""}}",{},4,,[],[],"{""First-Person Shooter"": {""url"": ""https://www.grouvee.com/games/?genre=first-person-shooter""}}","{""Resistance "": {""url"": ""https://www.grouvee.com/games/franchise/1417-resistance/""}}","{""Insomniac Games"": {""url"": ""https://www.grouvee.com/games/?developer=insomniac-games""}}","{""Sony Computer Entertainment America"": {""url"": ""https://www.grouvee.com/games/?publisher=sony-computer-entertainment-america""}}",2011-09-06,https://www.grouvee.com/games/26573-resistance-3/,29021
150,Batman: Arkham Asylum,"{""Played"": {""date_added"": ""2017-05-30T06:34:52Z"", ""url"": ""https://www.grouvee.com/user/praGmatic/shelves/147651-played/""}}",{},5,,[],[],"{""Action-Adventure"": {""url"": ""https://www.grouvee.com/games/?genre=action-adventure""}}","{""Batman"": {""url"": ""https://www.grouvee.com/games/franchise/74-batman/""}, ""Batman: Arkham Asylum"": {""url"": ""https://www.grouvee.com/games/franchise/1962-batman-arkham-asylum/""}, ""DC Universe"": {""url"": ""https://www.grouvee.com/games/franchise/75-dc-universe/""}}","{""Rocksteady Studios Ltd"": {""url"": ""https://www.grouvee.com/games/?developer=rocksteady-studios-ltd""}}","{""Eidos Interactive"": {""url"": ""https://www.grouvee.com/games/?publisher=eidos-interactive""}, ""WB Games"": {""url"": ""https://www.grouvee.com/games/?publisher=wb-games""}}",2009-08-25,https://www.grouvee.com/games/150-batman-arkham-asylum/,23245
45101,Fire Emblem Fates,"{""Played"": {""date_added"": ""2017-05-30T06:45:09Z"", ""url"": ""https://www.grouvee.com/user/praGmatic/shelves/147651-played/""}}",{},5,,[],[],"{""Role-Playing"": {""url"": ""https://www.grouvee.com/games/?genre=role-playing""}, ""Strategy"": {""url"": ""https://www.grouvee.com/games/?genre=strategy""}}","{""Fire Emblem"": {""url"": ""https://www.grouvee.com/games/franchise/152-fire-emblem/""}}",{},{},2015-06-25,https://www.grouvee.com/games/45101-fire-emblem-fates/,48580
74778,Astral Chain,"{""Played"": {""date_added"": ""2019-09-27T14:18:52Z"", ""url"": ""https://www.grouvee.com/user/praGmatic/shelves/147651-played/""}}","{""Nintendo Switch"": {""url"": ""https://www.grouvee.com/games/?platform=nintendo-switch""}}",4,,[],[],"{""Action"": {""url"": ""https://www.grouvee.com/games/?genre=action""}}",{},{},{},2019-08-30,https://www.grouvee.com/games/74778-astral-chain/,72147
9844,Grand Theft Auto 2,"{""Played"": {""date_added"": ""2017-05-30T06:38:22Z"", ""url"": ""https://www.grouvee.com/user/praGmatic/shelves/147651-played/""}}",{},5,,[],[],"{""Action"": {""url"": ""https://www.grouvee.com/games/?genre=action""}, ""Driving/Racing"": {""url"": ""https://www.grouvee.com/games/?genre=drivingracing""}}","{""Grand Theft Auto"": {""url"": ""https://www.grouvee.com/games/franchise/845-grand-theft-auto/""}}",{},{},1999-Q3,https://www.grouvee.com/games/9844-grand-theft-auto-2/,10593
78068,Xenoblade Chronicles: Definitive Edition,"{""Played"": {""date_added"": ""2020-10-12T10:19:42Z"", ""url"": ""https://www.grouvee.com/user/praGmatic/shelves/147651-played/""}}",{},3,,[],[],"{""Action"": {""url"": ""https://www.grouvee.com/games/?genre=action""}, ""Role-Playing"": {""url"": ""https://www.grouvee.com/games/?genre=role-playing""}}","{""Xeno"": {""url"": ""https://www.grouvee.com/games/franchise/2454-xeno/""}, ""Xenoblade"": {""url"": ""https://www.grouvee.com/games/franchise/4276-xenoblade/""}}","{""Monolith Software, Inc."": {""url"": ""https://www.grouvee.com/games/?developer=monolith-software-inc""}}","{""Nintendo"": {""url"": ""https://www.grouvee.com/games/?publisher=nintendo""}}",2020-05-29,https://www.grouvee.com/games/78068-xenoblade-chronicles-definitive-edition/,75084
19393,Flower,"{""Played"": {""date_added"": ""2017-05-30T06:44:11Z"", ""url"": ""https://www.grouvee.com/user/praGmatic/shelves/147651-played/""}}",{},5,,[],[],"{""Puzzle"": {""url"": ""https://www.grouvee.com/games/?genre=puzzle""}}",{},{},{},2009-02-12,https://www.grouvee.com/games/19393-flower/,21120
57913,Starlink: Battle for Atlas,"{""Played"": {""date_added"": ""2019-01-14T10:13:48Z"", ""url"": ""https://www.grouvee.com/user/praGmatic/shelves/147651-played/""}}","{""Nintendo Switch"": {""url"": ""https://www.grouvee.com/games/?platform=nintendo-switch""}}",4,,[],[],"{""Action-Adventure"": {""url"": ""https://www.grouvee.com/games/?genre=action-adventure""}}",{},"{""Ubisoft Toronto Studios"": {""url"": ""https://www.grouvee.com/games/?developer=ubisoft-toronto-studios""}}","{""Ubisoft Entertainment"": {""url"": ""https://www.grouvee.com/games/?publisher=ubisoft-entertainment""}}",2018-10-16,https://www.grouvee.com/games/57913-starlink-battle-for-atlas/,59917
